


 x  CO2
1850   285.2
1851   285.4
1852   285.5
1853   285.6
1854   285.8
1855   285.9
1856   286.1
1857   286.2
1858   286.4
1859   286.6
1860   286.7
1861   286.9
1862   287.0
1863   287.1
1864   287.3
1865   287.4
1866   287.5
1867   287.6
1868   287.7
1869   287.9
1870   288.0
1871   288.2
1872   288.4
1873   288.6
1874   288.9
1875   289.2
1876   289.5
1877   289.9
1878   290.3
1879   290.7
1880   291.2
1881   291.7
1882   292.2
1883   292.6
1884   293.1
1885   293.5
1886   293.8
1887   294.1
1888   294.3
1889   294.5
1890   294.7
1891   294.8
1892   295.0
1893   295.1
1894   295.2
1895   295.3
1896   295.4
1897   295.5
1898   295.7
1899   296.0
1900   296.3
1901   296.6
1902   297.0
1903   297.3
1904   297.7
1905   298.1
1906   298.6
1907   299.0
1908   299.4
1909   299.8
1910   300.2
1911   300.6
1912   300.9
1913   301.3
1914   301.6
1915   301.9
1916   302.2
1917   302.6
1918   302.9
1919   303.2
1920   303.5
1921   303.9
1922   304.3
1923   304.6
1924   305.0
1925   305.5
1926   305.9
1927   306.3
1928   306.8
1929   307.3
1930   307.7
1931   308.2
1932   308.7
1933   309.1
1934   309.5
1935   309.9
1936   310.3
1937   310.5
1938   310.7
1939   310.8
1940   310.9
1941   310.9
1942   310.8
1943   310.7
1944   310.6
1945   310.6
1946   310.6
1947   310.7
1948   310.8
1949   311.0
1950   311.3
1951   311.6
1952   312.0
1953   312.4
1954   312.9
1955   313.5
1956   314.1
1957   314.7
1958   315.3
1959   316.0
1960   316.8
1961   317.6
1962   318.3
1963   318.9
1964   319.4
1965   320.1
1966   321.1
1967   322.1
1968   323.1
1969   324.4
1970   325.5
1971   326.4
1972   327.6
1973   329.2
1974   330.2
1975   331.1
1976   332.2
1977   333.8
1978   335.3
1979   337.0
1980   338.9
1981   340.2
1982   341.3
1983   342.7
1984   344.3
1985   345.8
1986   347.3
1987   349.1
1988   351.2
1989   353.0
1990   354.4
1991   355.5
1992   356.4
1993   357.3
1994   358.6
1995   360.3
1996   362.0
1997   363.7
1998   365.8
1999   367.8
2000   369.4
2001   371.0
2002   373.0
2003   375.3
2004   377.3
2005   379.3
