Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.30,-.19,-.11,-.20,-.12,-.23,-.21,-.10,-.16,-.24,-.20,-.23,-.19,***,***,-.14,-.18,-.20
1881,-.15,-.18,.04,.04,.02,-.20,-.06,-.02,-.14,-.21,-.22,-.11,-.10,-.11,-.19,.03,-.10,-.19
1882,.14,.15,.04,-.19,-.16,-.26,-.20,-.05,-.10,-.25,-.16,-.24,-.11,-.10,.06,-.10,-.17,-.17
1883,-.31,-.39,-.13,-.17,-.20,-.13,-.08,-.15,-.20,-.14,-.22,-.16,-.19,-.20,-.32,-.17,-.12,-.19
1884,-.15,-.08,-.37,-.43,-.37,-.40,-.34,-.26,-.27,-.24,-.30,-.28,-.29,-.28,-.13,-.39,-.34,-.27
1885,-.59,-.30,-.25,-.42,-.42,-.44,-.35,-.31,-.23,-.19,-.20,-.05,-.31,-.33,-.39,-.37,-.37,-.21
1886,-.42,-.46,-.38,-.28,-.26,-.39,-.22,-.34,-.26,-.29,-.31,-.26,-.32,-.30,-.31,-.31,-.32,-.29
1887,-.73,-.53,-.34,-.39,-.32,-.24,-.23,-.32,-.23,-.33,-.24,-.34,-.35,-.35,-.51,-.35,-.27,-.27
1888,-.38,-.36,-.41,-.22,-.22,-.18,-.10,-.16,-.10,.02,.01,-.07,-.18,-.20,-.36,-.29,-.15,-.03
1889,-.12,.18,.08,.07,-.03,-.14,-.10,-.20,-.22,-.23,-.33,-.30,-.11,-.09,.00,.04,-.15,-.26
1890,-.45,-.46,-.41,-.37,-.46,-.27,-.27,-.39,-.40,-.25,-.48,-.32,-.38,-.38,-.40,-.41,-.31,-.38
1891,-.42,-.49,-.19,-.29,-.19,-.21,-.21,-.17,-.15,-.22,-.36,-.05,-.25,-.27,-.41,-.22,-.20,-.24
1892,-.29,-.12,-.36,-.35,-.25,-.24,-.33,-.26,-.13,-.13,-.42,-.39,-.27,-.24,-.16,-.32,-.28,-.23
1893,-.80,-.55,-.24,-.30,-.37,-.29,-.17,-.27,-.21,-.17,-.17,-.36,-.32,-.33,-.58,-.30,-.24,-.19
1894,-.54,-.34,-.25,-.49,-.36,-.44,-.26,-.23,-.25,-.21,-.26,-.20,-.32,-.33,-.41,-.37,-.31,-.24
